epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2133.28,0.66825,0.66827,1.11918,0.52577,0.51955,0.50984,0.36463,1.28623,1.77934,1.71791,0.000654546,0.000654546,0.000654546
85,2157.87,0.64622,0.64666,1.09545,0.55446,0.55441,0.55826,0.39935,1.28407,1.67859,1.71666,0.000649046,0.000649046,0.000649046
86,2182.69,0.64567,0.63882,1.10109,0.65639,0.53535,0.56155,0.39581,1.25393,1.66327,1.68591,0.000643547,0.000643547,0.000643547
87,2207.17,0.63849,0.64682,1.10515,0.64181,0.51942,0.5605,0.41907,1.30072,1.76487,1.77168,0.000638047,0.000638047,0.000638047
88,2232.05,0.64655,0.68113,1.10752,0.65573,0.48683,0.54547,0.4165,1.26394,1.76162,1.69435,0.000632548,0.000632548,0.000632548
89,2256.5,0.66682,0.65986,1.11382,0.56896,0.48988,0.51959,0.3923,1.28431,1.79939,1.71151,0.000627048,0.000627048,0.000627048
90,2281.09,0.62422,0.61521,1.08881,0.58788,0.47679,0.53382,0.39717,1.25873,1.75913,1.71405,0.000621549,0.000621549,0.000621549
91,2305.56,0.63724,0.62461,1.09846,0.66386,0.45045,0.5145,0.3786,1.28115,1.86549,1.71461,0.000616049,0.000616049,0.000616049
92,2330.06,0.63644,0.62393,1.09373,0.56883,0.53272,0.51703,0.39033,1.27416,1.82833,1.73125,0.00061055,0.00061055,0.00061055
93,2354.57,0.63771,0.63204,1.09514,0.5584,0.48996,0.506,0.3723,1.29895,1.95936,1.74609,0.000605051,0.000605051,0.000605051
94,2378.95,0.61707,0.60846,1.07889,0.56829,0.50912,0.492,0.35073,1.35757,1.97446,1.87226,0.000599551,0.000599551,0.000599551
95,2403.42,0.62121,0.63021,1.10047,0.52192,0.53161,0.50633,0.37453,1.29353,1.81634,1.75301,0.000594052,0.000594052,0.000594052
96,2427.87,0.60677,0.61525,1.0775,0.58481,0.5488,0.52472,0.39041,1.27727,1.69456,1.7543,0.000588552,0.000588552,0.000588552
97,2452.4,0.60788,0.59605,1.07236,0.68077,0.45271,0.52575,0.37737,1.3613,1.81663,1.86202,0.000583053,0.000583053,0.000583053
98,2476.85,0.59991,0.58251,1.07002,0.6466,0.49195,0.52836,0.40062,1.25212,1.89533,1.6771,0.000577553,0.000577553,0.000577553
99,2501.32,0.5989,0.59443,1.07173,0.53877,0.47361,0.51078,0.37886,1.32842,1.93615,1.75294,0.000572054,0.000572054,0.000572054
100,2525.69,0.60252,0.60173,1.07737,0.64378,0.44863,0.50864,0.38631,1.25917,1.90565,1.70809,0.000566554,0.000566554,0.000566554
101,2550.18,0.5844,0.57228,1.06504,0.60851,0.54185,0.53347,0.3996,1.28735,1.76439,1.73782,0.000561055,0.000561055,0.000561055
102,2574.67,0.58425,0.57914,1.06554,0.57366,0.53044,0.52641,0.39591,1.32613,1.91422,1.79024,0.000555556,0.000555556,0.000555556
103,2599.1,0.57494,0.57903,1.05415,0.67297,0.50066,0.56689,0.41714,1.31461,1.74028,1.77545,0.000550056,0.000550056,0.000550056
104,2623.58,0.57397,0.5578,1.06369,0.586,0.57428,0.57361,0.42387,1.32159,1.78796,1.80899,0.000544557,0.000544557,0.000544557
105,2648.53,0.5713,0.58065,1.05613,0.6421,0.4689,0.529,0.3795,1.31446,1.81433,1.80266,0.000539057,0.000539057,0.000539057
106,2673.09,0.58999,0.56599,1.06471,0.63579,0.50549,0.55006,0.40918,1.26322,1.76403,1.72744,0.000533558,0.000533558,0.000533558
107,2697.68,0.5592,0.54739,1.05788,0.75983,0.45762,0.57679,0.42953,1.30012,1.72076,1.75769,0.000528058,0.000528058,0.000528058
108,2722.63,0.56794,0.53967,1.05367,0.5978,0.51291,0.53827,0.40824,1.25056,1.6907,1.71074,0.000522559,0.000522559,0.000522559
109,2747.07,0.55491,0.55335,1.04544,0.57375,0.52201,0.52929,0.40389,1.27113,1.81521,1.76682,0.000517059,0.000517059,0.000517059
110,2771.62,0.56999,0.55568,1.05813,0.4973,0.58602,0.52479,0.39942,1.28599,1.82063,1.73572,0.00051156,0.00051156,0.00051156
111,2796.22,0.53899,0.53117,1.03049,0.60321,0.54338,0.55303,0.39423,1.2936,1.88211,1.81111,0.00050606,0.00050606,0.00050606
112,2820.75,0.56542,0.53415,1.05275,0.58952,0.51618,0.53481,0.39782,1.30248,1.93122,1.77883,0.000500561,0.000500561,0.000500561
113,2845.23,0.55109,0.55352,1.04193,0.5561,0.47913,0.51828,0.38991,1.23677,1.78485,1.70245,0.000495062,0.000495062,0.000495062
114,2869.7,0.53699,0.50728,1.04314,0.71418,0.45528,0.54558,0.40719,1.30742,1.86322,1.78191,0.000489562,0.000489562,0.000489562
115,2894.24,0.52972,0.50176,1.02615,0.5823,0.4672,0.49404,0.37032,1.30633,1.85116,1.82057,0.000484063,0.000484063,0.000484063
116,2918.72,0.53312,0.51793,1.04043,0.61846,0.511,0.53594,0.40813,1.28312,1.7445,1.78283,0.000478563,0.000478563,0.000478563
117,2943.24,0.53383,0.49833,1.03132,0.59275,0.49559,0.53625,0.38891,1.3085,1.88735,1.77907,0.000473064,0.000473064,0.000473064
118,2967.65,0.51858,0.49252,1.03264,0.60862,0.47621,0.51026,0.3781,1.2649,1.84589,1.77946,0.000467564,0.000467564,0.000467564
119,2992.15,0.52782,0.49486,1.02476,0.45907,0.55433,0.48779,0.36076,1.32692,1.87739,1.84685,0.000462065,0.000462065,0.000462065
120,3016.56,0.52223,0.51253,1.02816,0.59049,0.51468,0.50702,0.36545,1.33147,1.8238,1.83811,0.000456565,0.000456565,0.000456565
121,3040.91,0.53027,0.51292,1.04053,0.66873,0.43574,0.50716,0.37599,1.3192,1.93444,1.79767,0.000451066,0.000451066,0.000451066
122,3065.31,0.51707,0.49698,1.02533,0.5725,0.52381,0.53905,0.40369,1.30043,1.8508,1.78839,0.000445567,0.000445567,0.000445567
123,3089.7,0.49963,0.48325,1.02254,0.64044,0.48844,0.53716,0.40684,1.26828,1.79295,1.77957,0.000440067,0.000440067,0.000440067
124,3114.05,0.52202,0.48372,1.01725,0.63465,0.52722,0.58136,0.43659,1.27258,1.78231,1.75307,0.000434568,0.000434568,0.000434568
125,3138.96,0.50928,0.46978,1.02116,0.67351,0.50627,0.57713,0.4377,1.27384,1.76565,1.77874,0.000429068,0.000429068,0.000429068
126,3163.74,0.49743,0.48075,1.01436,0.58592,0.55295,0.55434,0.42279,1.2219,1.76985,1.7247,0.000423569,0.000423569,0.000423569
127,3188.19,0.48599,0.46475,1.00052,0.5825,0.51713,0.53401,0.39071,1.30817,1.91721,1.80795,0.000418069,0.000418069,0.000418069
128,3212.67,0.5,0.47592,1.0183,0.64765,0.48687,0.52763,0.37572,1.36846,1.86697,1.87775,0.00041257,0.00041257,0.00041257
129,3237.25,0.49623,0.46587,1.01456,0.62694,0.54959,0.56122,0.40175,1.29862,1.82185,1.8286,0.00040707,0.00040707,0.00040707
130,3261.72,0.48579,0.449,1.01291,0.59394,0.52045,0.55159,0.41437,1.28055,1.79846,1.77582,0.000401571,0.000401571,0.000401571
131,3286.16,0.48243,0.44447,1.00044,0.58735,0.47415,0.50765,0.38348,1.29588,1.97875,1.76225,0.000396071,0.000396071,0.000396071
132,3310.7,0.47165,0.43155,1.00341,0.52714,0.51925,0.52294,0.38621,1.29213,1.906,1.78359,0.000390572,0.000390572,0.000390572
133,3335.12,0.48387,0.44692,1.00282,0.50896,0.55502,0.52435,0.40851,1.25015,1.87362,1.75659,0.000385073,0.000385073,0.000385073
134,3359.59,0.46782,0.4271,1.00203,0.68123,0.46365,0.53159,0.40183,1.30595,1.91255,1.84761,0.000379573,0.000379573,0.000379573
135,3384.07,0.46966,0.4383,0.99171,0.67335,0.46476,0.51766,0.38957,1.28568,2.00221,1.795,0.000374074,0.000374074,0.000374074
136,3408.5,0.46874,0.44425,1.00018,0.60321,0.52123,0.53354,0.41069,1.26209,1.93362,1.78209,0.000368574,0.000368574,0.000368574
137,3432.94,0.46854,0.42243,0.98775,0.62507,0.52673,0.57308,0.42952,1.26572,1.84154,1.74149,0.000363075,0.000363075,0.000363075
138,3457.31,0.48172,0.44348,0.99736,0.64502,0.50892,0.57159,0.43736,1.23312,1.71493,1.75113,0.000357575,0.000357575,0.000357575
139,3481.7,0.45455,0.42678,0.99794,0.64283,0.49154,0.53989,0.42425,1.27086,1.89678,1.77591,0.000352076,0.000352076,0.000352076
140,3506.14,0.45618,0.43533,0.99133,0.54436,0.50606,0.54598,0.41902,1.25317,1.92656,1.79515,0.000346576,0.000346576,0.000346576
141,3530.54,0.45724,0.42789,0.99068,0.57016,0.51785,0.53942,0.4109,1.23264,1.99499,1.74648,0.000341077,0.000341077,0.000341077
142,3555.02,0.44763,0.41784,0.98761,0.65235,0.51696,0.56184,0.42164,1.23874,1.89041,1.77458,0.000335578,0.000335578,0.000335578
143,3579.48,0.44293,0.422,0.98032,0.55311,0.54474,0.54541,0.40841,1.28805,1.94578,1.7969,0.000330078,0.000330078,0.000330078
144,3603.93,0.43955,0.41185,0.98482,0.61492,0.48834,0.53874,0.4031,1.30312,2.02649,1.82067,0.000324579,0.000324579,0.000324579
145,3628.36,0.43235,0.40361,0.97896,0.63219,0.46122,0.53458,0.4138,1.25522,1.98958,1.77848,0.000319079,0.000319079,0.000319079
146,3652.77,0.43283,0.40025,0.97878,0.6362,0.48302,0.537,0.41072,1.29519,2.047,1.7861,0.00031358,0.00031358,0.00031358
147,3677.18,0.44661,0.42279,0.99168,0.71626,0.45451,0.54101,0.40848,1.30405,2.05944,1.81546,0.00030808,0.00030808,0.00030808
