epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,1199.06,0.56139,0.49768,1.01588,0.58381,0.54831,0.56382,0.433,1.18189,1.79798,1.57588,0.000484063,0.000484063,0.000484063
116,1208.38,0.5658,0.50245,1.0368,0.67485,0.50816,0.53634,0.4009,1.2281,1.8042,1.61991,0.000478563,0.000478563,0.000478563
117,1217.66,0.55031,0.4932,1.01656,0.65673,0.53299,0.54517,0.42256,1.19397,1.67328,1.65187,0.000473064,0.000473064,0.000473064
118,1227.01,0.54789,0.49785,1.02477,0.63256,0.51853,0.56901,0.43039,1.19753,1.64892,1.63909,0.000467564,0.000467564,0.000467564
119,1236.42,0.56037,0.49157,1.01626,0.63817,0.50351,0.54996,0.4153,1.22398,1.71046,1.6386,0.000462065,0.000462065,0.000462065
120,1245.77,0.54787,0.48648,1.01752,0.68938,0.52774,0.5727,0.43589,1.20129,1.72304,1.6262,0.000456565,0.000456565,0.000456565
121,1255.16,0.5524,0.48386,1.02655,0.63947,0.503,0.54586,0.42137,1.19932,1.78171,1.61808,0.000451066,0.000451066,0.000451066
122,1264.46,0.5576,0.49194,1.02407,0.63564,0.52458,0.54233,0.40558,1.18051,1.83897,1.57236,0.000445567,0.000445567,0.000445567
123,1273.8,0.52735,0.46725,1.01294,0.5514,0.57209,0.58249,0.42882,1.21729,1.68462,1.68306,0.000440067,0.000440067,0.000440067
124,1283.24,0.54848,0.47075,1.01057,0.77738,0.52063,0.60462,0.45071,1.21366,1.66619,1.67022,0.000434568,0.000434568,0.000434568
125,1292.71,0.53693,0.46953,1.00969,0.57399,0.53508,0.56171,0.42934,1.19414,1.72637,1.63223,0.000429068,0.000429068,0.000429068
126,1302.1,0.5335,0.47301,1.00429,0.69728,0.54719,0.58811,0.4434,1.21799,1.78078,1.64963,0.000423569,0.000423569,0.000423569
127,1311.43,0.53139,0.45489,0.9968,0.65984,0.57638,0.60236,0.44978,1.17814,1.7163,1.58375,0.000418069,0.000418069,0.000418069
128,1320.85,0.53225,0.47189,1.00805,0.76885,0.46439,0.57636,0.44647,1.15561,1.64231,1.56472,0.00041257,0.00041257,0.00041257
129,1330.19,0.52863,0.45854,1.00639,0.63691,0.50803,0.54354,0.41253,1.20305,1.81245,1.63276,0.00040707,0.00040707,0.00040707
130,1339.56,0.51245,0.45472,1.00245,0.68265,0.49103,0.58497,0.44161,1.19953,1.72782,1.62448,0.000401571,0.000401571,0.000401571
131,1349.08,0.53326,0.46073,1.00302,0.60353,0.51938,0.55803,0.4324,1.17968,1.79982,1.59997,0.000396071,0.000396071,0.000396071
132,1358.49,0.50525,0.45013,0.9994,0.67661,0.54423,0.58099,0.43946,1.21168,1.74992,1.64794,0.000390572,0.000390572,0.000390572
133,1367.83,0.52051,0.44654,0.99875,0.59995,0.56879,0.55964,0.42925,1.1993,1.70744,1.61216,0.000385073,0.000385073,0.000385073
134,1377.12,0.50716,0.42606,0.99419,0.62325,0.56585,0.57546,0.44519,1.18672,1.77386,1.61379,0.000379573,0.000379573,0.000379573
135,1386.52,0.50468,0.43838,0.98597,0.70852,0.50176,0.57512,0.43328,1.23342,1.68572,1.69643,0.000374074,0.000374074,0.000374074
136,1395.86,0.51083,0.44283,0.99352,0.60613,0.53529,0.55112,0.4289,1.23661,1.77335,1.65079,0.000368574,0.000368574,0.000368574
137,1405.17,0.50457,0.44101,0.98403,0.56485,0.52959,0.53945,0.42233,1.18878,1.92942,1.64417,0.000363075,0.000363075,0.000363075
