epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1155.23,0.59018,0.55532,1.04066,0.52644,0.53273,0.53074,0.40755,1.25273,1.86133,1.64513,0.000649046,0.000649046,0.000649046
86,1167.92,0.59784,0.54544,1.04981,0.58631,0.51561,0.51336,0.38861,1.25352,1.77451,1.68252,0.000643547,0.000643547,0.000643547
87,1180.63,0.59255,0.55745,1.05153,0.61321,0.50279,0.53365,0.39282,1.25743,1.74513,1.67726,0.000638047,0.000638047,0.000638047
88,1193.3,0.59705,0.55959,1.05601,0.5972,0.48422,0.53126,0.3906,1.3215,1.72523,1.75927,0.000632548,0.000632548,0.000632548
89,1205.97,0.60864,0.55929,1.06002,0.6553,0.54117,0.56618,0.4337,1.24904,1.77257,1.63013,0.000627048,0.000627048,0.000627048
90,1218.9,0.58751,0.53787,1.04337,0.54909,0.59603,0.55885,0.41046,1.26767,1.78543,1.68716,0.000621549,0.000621549,0.000621549
91,1231.53,0.57682,0.52137,1.04119,0.57969,0.53643,0.53881,0.41012,1.29539,1.77923,1.72026,0.000616049,0.000616049,0.000616049
92,1244.2,0.57788,0.52043,1.03539,0.61389,0.49539,0.51592,0.40601,1.25341,1.75571,1.6965,0.00061055,0.00061055,0.00061055
93,1256.8,0.58079,0.53504,1.03789,0.66345,0.50426,0.52507,0.37942,1.42397,1.9234,1.91011,0.000605051,0.000605051,0.000605051
94,1269.53,0.57219,0.50392,1.02745,0.62733,0.5203,0.51519,0.38551,1.35867,1.85422,1.82655,0.000599551,0.000599551,0.000599551
95,1282.16,0.57615,0.50792,1.04562,0.64689,0.53602,0.55119,0.4059,1.28449,1.7138,1.762,0.000594052,0.000594052,0.000594052
96,1294.78,0.56019,0.49722,1.02849,0.66708,0.47766,0.5405,0.40397,1.2456,1.70655,1.67939,0.000588552,0.000588552,0.000588552
97,1307.45,0.57664,0.49858,1.03119,0.6672,0.47721,0.51435,0.38387,1.29812,1.7666,1.71552,0.000583053,0.000583053,0.000583053
98,1320.13,0.54835,0.49641,1.02451,0.63357,0.51466,0.56563,0.41826,1.31452,1.75813,1.75892,0.000577553,0.000577553,0.000577553
